,Unnamed: 0,Unnamed: 1,mu,phi,beta,H0,V0,chi,iteration,acceptance_ratio,chain#,tau,S0,bestmodel,algalHost,algalHostTaxon,virusName,id,lam
899,nineI,17,0.060351449646381124,9.531385883437902e-09,422.38615527132623,,20307789.73932569,28.276189686503088,5018,0.278597050617776,0,4.19590909115192,1339844.3568359916,nineI,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,Baudoux32,0.23832737513516192
900,nineI,117,0.04611169996351332,1.0116933721181507e-08,504.0088238677954,,25678307.53581149,23.976575532101982,5118,0.2772567409144197,0,4.758930784663242,1304346.723125599,nineI,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,Baudoux32,0.210131234356829
901,nineI,217,0.035296098930454815,6.287559376099239e-09,615.4276623561036,,26090272.418672666,22.144881592116924,5218,0.2759678037562284,0,4.532917092346649,1292513.1306535085,nineI,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,Baudoux32,0.22060849109470682
902,nineI,317,0.04402739533033225,7.754375748751251e-09,514.2343966594826,,24188382.476995934,23.203780140104943,5318,0.27416321925535914,0,4.414835776096874,1250462.661570739,nineI,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,Baudoux32,0.2265089916626736
903,nineI,417,0.05083403230425936,9.956052838479374e-09,422.89438433806015,,21929701.263886254,25.65505868014352,5418,0.2757475083056478,0,4.338191231002469,1397314.182766028,nineI,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,Baudoux32,0.23051081585652464
904,nineI,517,0.0367274050682576,7.27661714301848e-09,470.45396403724266,,24769301.025577705,24.737750301660558,5518,0.2767306995288148,0,4.386551355795674,1536663.0696031488,nineI,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,Baudoux32,0.2279695183959862
905,nineI,617,0.04360814742431042,6.213307476929075e-09,469.5663156713108,,26687446.097534034,23.446971604245434,5618,0.2757208971164115,0,4.359611025597376,1274087.4114038295,nineI,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,Baudoux32,0.22937826198908995
906,nineI,717,0.035631366630131105,5.987428321005392e-09,512.5871634287201,,28206592.42611228,22.94034519583191,5718,0.2759706190975866,0,4.470883738783674,1356746.5501143786,nineI,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,Baudoux32,0.22366942609696555
907,nineI,817,0.03994874027860535,5.384285530035759e-09,461.66213371291786,,24497160.26796349,24.736626843589796,5818,0.2756961155036095,0,4.0441081723361085,1209482.0431946826,nineI,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,Baudoux32,0.24727330659465094
908,nineI,917,0.03952812754627413,5.329547265595255e-09,518.8621078110226,,25823767.65936223,25.469925359891548,5918,0.2754308888137885,0,4.241835473344291,1400112.379483095,nineI,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,Baudoux32,0.2357470029858545
909,nineI,1017,0.04352937866769188,5.783905994472871e-09,473.5657382035381,,27631437.95296313,23.926674849299715,6018,0.27450980392156865,0,4.202128939509174,1336468.9159813055,nineI,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,Baudoux32,0.23797461105912762
910,nineI,1117,0.0250105335021001,5.2004516795843134e-09,504.97040355972933,,25655367.07688741,23.91074163839641,6118,0.2757437070938215,0,4.383082923212313,1480118.0944540587,nineI,Phaeocystis Globosa,Haptophyte,PgV-01T - Group 2c,Baudoux32,0.2281499158284487
